Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),price_per_sqft,distance_to_cbd_km,amenity_score,total_rooms,room_density,bathroom_bedroom_ratio,is_luxury,property_category
Kileleshwa,Apartment,2,2,130.0,SQ,12500000.0,96153.85,3.33,0.5,4,0.0308,1.0,0,Apartment
Parklands,Land,3,3,250.0,SQ,21500000.0,86000.0,2.72,0.5,6,0.024,1.0,0,Other
Kileleshwa,Apartment,4,3,230.0,SQ,22000000.0,95652.17,3.33,0.5,7,0.0304,0.75,0,Apartment
Kileleshwa,Apartment,2,2,90.0,SQ,8500000.0,94444.44,3.33,0.5,4,0.0444,1.0,0,Apartment
Kileleshwa,Apartment,1,1,60.0,SQ,7500000.0,125000.0,3.33,0.5,2,0.0333,1.0,0,Apartment
Westlands,Studio,1,1,48.0,SQ,8200000.0,170833.33,2.93,0.5,2,0.0417,1.0,0,Apartment
Parklands,Land,2,2,90.0,SQ,8000000.0,88888.89,2.72,0.5,4,0.0444,1.0,0,Other
Nairobi,Bungalow,3,3,150.0,SQ,9500000.0,63333.33,0.0,0.5,6,0.04,1.0,0,House
Kilimani,Apartment,1,1,43.0,SQ,5200000.0,120930.23,3.85,0.5,2,0.0465,1.0,0,Apartment
Kilimani,Apartment,1,1,55.0,SQ,6500000.0,118181.82,3.85,0.5,2,0.0364,1.0,0,Apartment
Nairobi,House,4,4,236.0,SQ,14000000.0,59322.03,0.0,0.5,8,0.0339,1.0,0,House
Westlands,Land,1,1,67.0,"Gym, SQ, Intercom",7600000.0,113432.84,2.93,3.0,2,0.0299,1.0,0,Other
Westlands,Land,1,1,104.0,SQ,6440000.0,61923.08,2.93,0.5,2,0.0192,1.0,0,Other
Westlands,Land,2,2,94.0,SQ,15540000.0,165319.15,2.93,0.5,4,0.0426,1.0,0,Other
Dagoretti,Townhouse,1,3,49.0,"Security, Borehole, SQ, Gate",4900000.0,100000.0,7.67,3.0,4,0.0816,3.0,0,House
Langata,House,4,4,260.0,SQ,35900000.0,138076.92,10.77,0.5,8,0.0308,1.0,0,House
Muthaiga,Apartment,2,2,185.0,SQ,13000000.0,70270.27,5.99,0.5,4,0.0216,1.0,0,Apartment
Westlands,Land,1,1,57.0,SQ,7700000.0,135087.72,2.93,0.5,2,0.0351,1.0,0,Other
Nairobi,Bungalow,3,3,150.0,"SQ, Gate",9550000.0,63666.67,0.0,1.0,6,0.04,1.0,0,House
Kileleshwa,House,4,4,270.0,SQ,29500000.0,109259.26,3.33,0.5,8,0.0296,1.0,0,House
Westlands,Land,3,3,198.0,SQ,22250000.0,112373.74,2.93,0.5,6,0.0303,1.0,0,Other
Kilimani,Apartment,1,1,70.0,SQ,6900000.0,98571.43,3.85,0.5,2,0.0286,1.0,0,Apartment
Dagoretti,Apartment,2,3,65.0,SQ,7800000.0,120000.0,7.67,0.5,5,0.0769,1.5,0,Apartment
Komarock,House,6,5,400.0,SQ,23000000.0,57500.0,10.34,0.5,11,0.0275,0.83,0,House
Kilimani,Apartment,2,2,75.0,SQ,7500000.0,100000.0,3.85,0.5,4,0.0533,1.0,0,Apartment
Kilimani,Apartment,2,2,95.0,SQ,7500000.0,78947.37,3.85,0.5,4,0.0421,1.0,0,Apartment
Hurlingham,Maisonette,3,3,190.0,"Swimming Pool, Gym, Garden, SQ, Gate, Laundry",23000000.0,121052.63,4.38,6.0,6,0.0316,1.0,0,House
Kileleshwa,Apartment,1,1,55.0,SQ,7500000.0,136363.64,3.33,0.5,2,0.0364,1.0,0,Apartment
Westlands,Land,1,2,65.0,SQ,7000000.0,107692.31,2.93,0.5,3,0.0462,2.0,0,Other
Hurlingham,House,2,4,60.0,"Garden, SQ",11500000.0,191666.67,4.38,1.0,6,0.1,2.0,0,House
Kilimani,Studio,1,1,23.12,SQ,2435400.0,105337.37,3.85,0.5,2,0.0865,1.0,0,Apartment
Kileleshwa,Studio,1,1,42.0,SQ,4500000.0,107142.86,3.33,0.5,2,0.0476,1.0,0,Apartment
Kileleshwa,Maisonette,4,3,130.0,SQ,38000000.0,292307.69,3.33,0.5,7,0.0538,0.75,0,House
Imara Daima,House,3,3,59.0,"Swimming Pool, Gym, SQ",10500000.0,177966.1,8.83,4.5,6,0.1017,1.0,0,House
Kilimani,Apartment,2,5,80.0,"SQ, Laundry",9000000.0,112500.0,3.85,1.0,7,0.0875,2.5,0,Apartment
Hurlingham,Apartment,3,3,134.0,SQ,15200000.0,113432.84,4.38,0.5,6,0.0448,1.0,0,Apartment
Kileleshwa,Apartment,1,1,58.0,SQ,7500000.0,129310.34,3.33,0.5,2,0.0345,1.0,0,Apartment
Westlands,Land,3,3,398.3778434218041,SQ,30000000.0,75305.39,2.93,0.5,6,0.0151,1.0,0,Other
Kileleshwa,Apartment,3,3,208.0,SQ,19500000.0,93750.0,3.33,0.5,6,0.0288,1.0,0,Apartment
Westlands,Land,1,1,41.0,SQ,5800000.0,141463.41,2.93,0.5,2,0.0488,1.0,0,Other
Nairobi,Apartment,3,3,300.0,"Garden, SQ",14500000.0,48333.33,0.0,1.0,6,0.02,1.0,0,Apartment
Lavington,Apartment,3,3,170.0,SQ,23000000.0,135294.12,5.48,0.5,6,0.0353,1.0,0,Apartment
Kilimani,Apartment,2,2,70.0,SQ,7500000.0,107142.86,3.85,0.5,4,0.0571,1.0,0,Apartment
Hurlingham,Land,3,3,205.0,SQ,29500000.0,143902.44,4.38,0.5,6,0.0293,1.0,0,Other
Valley Arcade,Apartment,3,3,138.0,SQ,12800000.0,92753.62,3.71,0.5,6,0.0435,1.0,0,Apartment
South C,Apartment,2,2,180.0,SQ,8000000.0,44444.44,3.4,0.5,4,0.0222,1.0,0,Apartment
Kilimani,Apartment,3,3,186.0,SQ,12500000.0,67204.3,3.85,0.5,6,0.0323,1.0,0,Apartment
Kileleshwa,Apartment,3,3,236.0,SQ,22000000.0,93220.34,3.33,0.5,6,0.0254,1.0,0,Apartment
Kilimani,Apartment,3,3,141.88545703425984,SQ,13500000.0,95147.17,3.85,0.5,6,0.0423,1.0,0,Apartment
Thome,House,3,3,134.0,"Gym, Lift, SQ",14500000.0,108208.96,7.25,4.0,6,0.0448,1.0,0,House
Hurlingham,Apartment,3,4,250.0,SQ,20000000.0,80000.0,4.38,0.5,7,0.028,1.33,0,Apartment
Hurlingham,Apartment,3,3,173.0,SQ,18500000.0,106936.42,4.38,0.5,6,0.0347,1.0,0,Apartment
Kileleshwa,House,4,4,338.0,SQ,34000000.0,100591.72,3.33,0.5,8,0.0237,1.0,0,House
Kilimani,Apartment,2,2,61.0,SQ,6200000.0,101639.34,3.85,0.5,4,0.0656,1.0,0,Apartment
Donholm,Maisonette,4,4,160.0,"SQ, Gate",18000000.0,112500.0,8.87,1.0,8,0.05,1.0,0,House
Kilimani,Apartment,3,3,118.0,SQ,14800000.0,125423.73,3.85,0.5,6,0.0508,1.0,0,Apartment
Hurlingham,House,4,4,295.0,SQ,29000000.0,98305.08,4.38,0.5,8,0.0271,1.0,0,House
Kitisuru,Apartment,2,2,112.0,SQ,12500000.0,111607.14,6.42,0.5,4,0.0357,1.0,0,Apartment
Kileleshwa,Apartment,2,2,125.0,SQ,14500000.0,116000.0,3.33,0.5,4,0.032,1.0,0,Apartment
Kilimani,Apartment,1,1,31.0,SQ,3400000.0,109677.42,3.85,0.5,2,0.0645,1.0,0,Apartment
Kileleshwa,Apartment,2,2,166.0,SQ,14000000.0,84337.35,3.33,0.5,4,0.0241,1.0,0,Apartment
Dagoretti,Townhouse,6,5,250.0,SQ,25000000.0,100000.0,7.67,0.5,11,0.044,0.83,0,House
Westlands,Land,2,1,110.0,"Swimming Pool, Gym, Lift, SQ, Laundry",14500000.0,131818.18,2.93,6.5,3,0.0273,0.5,0,Other
Kileleshwa,Apartment,4,4,260.0,SQ,23500000.0,90384.62,3.33,0.5,8,0.0308,1.0,0,Apartment
Westlands,Land,1,1,55.0,"Parking, SQ",6200000.0,112727.27,2.93,1.0,2,0.0364,1.0,0,Other
Kahawa,Apartment,2,3,70.0,SQ,5100000.0,72857.14,16.05,0.5,5,0.0714,1.5,0,Apartment
