Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),price_per_sqft,distance_to_cbd_km,amenity_score,total_rooms,room_density,bathroom_bedroom_ratio,is_luxury,property_category
Kilimani,Apartment,1,1,70.0,SQ,5800000.0,82857.14,3.85,0.5,2,0.0286,1.0,0,Apartment
Kilimani,Apartment,2,2,107.0,SQ,8000000.0,74766.36,3.85,0.5,4,0.0374,1.0,0,Apartment
Kilimani,Apartment,3,3,115.0,SQ,9800000.0,85217.39,3.85,0.5,6,0.0522,1.0,0,Apartment
Kileleshwa,Apartment,3,3,140.0,SQ,13500000.0,96428.57,3.33,0.5,6,0.0429,1.0,0,Apartment
Kileleshwa,Apartment,3,3,130.0,SQ,11000000.0,84615.38,3.33,0.5,6,0.0462,1.0,0,Apartment
Lavington,Apartment,4,4,337.85550800269687,SQ,24000000.0,71036.28,5.48,0.5,8,0.0237,1.0,0,Apartment
Kileleshwa,Apartment,4,3,211.0,SQ,23000000.0,109004.74,3.33,0.5,7,0.0332,0.75,0,Apartment
Kileleshwa,Apartment,3,3,179.0,SQ,17000000.0,94972.07,3.33,0.5,6,0.0335,1.0,0,Apartment
Lavington,House,1,1,61.0,"Swimming Pool, Gym, Garden, Parking, SQ, Rooftop, Concierge, Store",6768474.884473804,110958.6,5.48,7.0,2,0.0328,1.0,0,House
Kileleshwa,Apartment,4,4,250.0,"Parking, Borehole, Lift, Balcony, Generator, SQ, Jacuzzi",22863996.007517163,91455.98,3.33,6.5,8,0.032,1.0,0,Apartment
Ngong,Townhouse,3,3,215.0,"Garden, Parking, Solar, SQ, Gate, Laundry",21539459.52380952,100183.53,19.76,3.0,6,0.0279,1.0,0,House
Kileleshwa,Apartment,2,2,150.0,"Swimming Pool, Gym, Parking, Lift, Balcony, SQ, Laundry",13580218.678853096,90534.79,3.33,7.5,4,0.0267,1.0,0,Apartment
Westlands,Land,2,1,80.0,"Swimming Pool, Gym, Parking, Security, Lift, Balcony, CCTV, SQ, Intercom",7180053.746508577,89750.67,2.93,9.0,3,0.0375,0.5,0,Other
Ngong Road,Commercial,4,4,246.0,"Swimming Pool, Gym, Parking, Security, Borehole, Lift, Balcony, CCTV, Generator, SQ, Intercom",30569043.05111865,124264.4,6.88,12.0,8,0.0325,1.0,0,Other
Westlands,Studio,2,2,68.0,"Swimming Pool, Parking, Borehole, Lift, CCTV, SQ, Store",6876313.133035863,101122.25,2.93,7.0,4,0.0588,1.0,0,Apartment
Kilimani,Commercial,3,3,205.0,"Swimming Pool, Gym, Parking, Security, Lift, SQ, Rooftop",22866470.87784178,111543.76,3.85,8.0,6,0.0293,1.0,0,Other
Westlands,Commercial,3,3,223.0,"Swimming Pool, Gym, Parking, Security, Borehole, Balcony, Generator, Solar, SQ, Gate, Intercom, Rooftop, Laundry",23660923.394635458,106102.8,2.93,12.0,6,0.0269,1.0,0,Other
Westlands,Studio,1,1,68.0,"Swimming Pool, Parking, Borehole, Lift, CCTV, SQ, Store",6858040.677508434,100853.54,2.93,7.0,2,0.0294,1.0,0,Apartment
Ngong,Maisonette,3,3,215.0,"Garden, Parking, Solar, SQ, Gate, Laundry",17908585.855337113,83295.75,19.76,3.0,6,0.0279,1.0,0,House
Westlands,Land,1,1,67.0,"Swimming Pool, Gym, Garden, Parking, Security, CCTV, Generator, SQ, Rooftop",7010716.544331845,104637.56,2.93,9.5,2,0.0299,1.0,0,Other
Kileleshwa,Studio,1,1,48.0,"Swimming Pool, Gym, Parking, Borehole, Lift, Generator, SQ, Sauna",6055217.127826993,126150.36,3.33,10.0,2,0.0417,1.0,0,Apartment
Kileleshwa,Apartment,1,1,63.0,"Swimming Pool, Gym, Parking, Borehole, Lift, Generator, SQ, Sauna",6847110.1864568535,108684.29,3.33,10.0,2,0.0317,1.0,0,Apartment
Kileleshwa,Apartment,2,2,85.0,"Swimming Pool, Gym, Parking, Borehole, Lift, Generator, SQ, Sauna",9296488.019013437,109370.45,3.33,10.0,4,0.0471,1.0,0,Apartment
Kileleshwa,Apartment,3,3,203.0,"Gym, SQ",17996148.856416885,88650.98,3.33,2.5,6,0.0296,1.0,0,Apartment
Westlands,Land,3,3,175.0,"Gym, Parking, Generator, SQ, Rooftop",16703149.81361904,95446.57,2.93,5.5,6,0.0343,1.0,0,Other
Athi River,Maisonette,3,3,160.0,"Garden, Parking, Security, Solar, SQ, Gate",19213883.875508413,120086.77,25.98,3.5,6,0.0375,1.0,0,House
Lavington,Studio,1,1,66.0,"Swimming Pool, Gym, Garden, Parking, CCTV, SQ, Playground, Intercom, Laundry, Lift",6455592.160507536,97812.0,5.48,9.5,2,0.0303,1.0,0,Apartment
Westlands,Land,2,2,95.0,"Swimming Pool, Gym, Garden, Parking, Security, Borehole, CCTV, Generator, SQ, Intercom, Lift",11230571.6755666,118216.54,2.93,12.0,4,0.0421,1.0,0,Other
Westlands,Studio,1,1,52.0,"Swimming Pool, Gym, Parking, Security, Borehole, CCTV, Generator, Solar, SQ, Intercom, Rooftop, Sauna, Lift",6673909.836432424,128344.42,2.93,13.0,2,0.0385,1.0,0,Apartment
Nairobi,Bungalow,2,2,211.0,"Garden, Parking, SQ, Gate, Laundry",13810293.657153,65451.63,0.0,2.5,4,0.019,1.0,0,House
Kilimani,Land,3,3,150.0,"Swimming Pool, Gym, Garden, Parking, Borehole, En Suite, Servant Quarter, SQ, Gate, Store",16800000.0,112000.0,3.85,8.5,6,0.04,1.0,0,Other
Kilimani,Apartment,3,3,150.0,SQ,10800000.0,72000.0,3.85,0.5,6,0.04,1.0,0,Apartment
Kilimani,Apartment,2,2,87.0,SQ,9400000.0,108045.98,3.85,0.5,4,0.046,1.0,0,Apartment
Kileleshwa,Apartment,3,3,180.0,"Swimming Pool, Gym, Servant Quarter, SQ",23000000.0,127777.78,3.33,5.0,6,0.0333,1.0,0,Apartment
