Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),Listing Date,Source
Kilimani,Apartment,2,2,68,En Suite,7500000,N/A,BuyRentKenya
Westlands,Land,1,1,55,"Swimming Pool, Rooftop",7800000,N/A,BuyRentKenya
Karen,House,5,4,N/A,Garden,130000000,N/A,BuyRentKenya
Westlands,Land,2,3,139,"En Suite, SQ",15300000,N/A,BuyRentKenya
Westlands,Studio,N/A,1,43,"Swimming Pool, Gym",5900000,N/A,BuyRentKenya
Westlands,Townhouse,2,1,138,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, SQ, Gate, Rooftop, Electric Fence",N/A,11,BuyRentKenya
Kileleshwa,Apartment,3,3,1791,"En Suite, SQ",22830000,N/A,BuyRentKenya
Kileleshwa,Apartment,1,1,68,Swimming Pool,6900000,N/A,BuyRentKenya
Kileleshwa,Apartment,5,6,367,"En Suite, SQ",41000000,N/A,BuyRentKenya
Westlands,Land,1,1,60,Swimming Pool,7000000,N/A,BuyRentKenya
Kilimani,Apartment,2,3,96,En Suite,12000000,N/A,BuyRentKenya
Kilimani,Apartment,2,2,N/A,En Suite,6950000,N/A,BuyRentKenya
Westlands,Land,1,1,N/A,En Suite,6000000,N/A,BuyRentKenya
Kiambu,House,4,5,N/A,Garden,73000000,N/A,BuyRentKenya
Karen,House,4,5,N/A,Swimming Pool,85000000,N/A,BuyRentKenya
Westlands,Land,4,5,N/A,None,98000000,N/A,BuyRentKenya
Westlands,Land,2,2,N/A,En Suite,13000000,N/A,BuyRentKenya
Westlands,Land,1,1,N/A,En Suite,4900000,N/A,BuyRentKenya
Kileleshwa,Apartment,3,3,N/A,En Suite,24000000,N/A,BuyRentKenya
Westlands,Land,2,2,N/A,En Suite,14500000,N/A,BuyRentKenya
Westlands,Land,1,2,60,Swimming Pool,7000000,N/A,BuyRentKenya
Westlands,Land,2,3,82,En Suite,11000000,N/A,BuyRentKenya
Westlands,Land,1,2,57,Swimming Pool,5200000,N/A,BuyRentKenya
Lavington,Apartment,2,3,91,En Suite,9500000,N/A,BuyRentKenya
Kileleshwa,Townhouse,4,4,1791,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, SQ, Gate, Electric Fence",N/A,16,BuyRentKenya
Westlands,Land,1,1,N/A,En Suite,4000000,N/A,BuyRentKenya
Kileleshwa,Apartment,4,5,N/A,En Suite,18000000,N/A,BuyRentKenya
Lavington,Apartment,2,3,122,En Suite,10000000,N/A,BuyRentKenya
Lavington,Apartment,1,2,64,Swimming Pool,6000000,N/A,BuyRentKenya
Lavington,Apartment,1,2,64,Swimming Pool,5600000,N/A,BuyRentKenya
Westlands,Land,2,3,132,En Suite,9900000,N/A,BuyRentKenya
Westlands,Land,3,4,N/A,"Swimming Pool, SQ",19500000,N/A,BuyRentKenya
South C,Townhouse,4,2,N/A,None,20500000,N/A,BuyRentKenya
Lavington,Commercial,N/A,N/A,N/A,None,320000000,N/A,BuyRentKenya
Westlands,Land,N/A,N/A,4046.9,None,550000000,N/A,BuyRentKenya
Roysambu,Apartment,1,1,N/A,En Suite,3300000,N/A,BuyRentKenya
Lavington,Townhouse,5,6,N/A,En Suite,135000000,N/A,BuyRentKenya
Lavington,Townhouse,4,5,N/A,En Suite,168000000,N/A,BuyRentKenya
Lavington,Townhouse,6,7,N/A,En Suite,150000000,N/A,BuyRentKenya
Lavington,Townhouse,5,5,N/A,En Suite,95000000,N/A,BuyRentKenya
Lavington,Townhouse,5,5,N/A,En Suite,160000000,N/A,BuyRentKenya
Lavington,Townhouse,5,6,N/A,En Suite,150000000,N/A,BuyRentKenya
Lavington,Townhouse,6,7,N/A,En Suite,86000000,N/A,BuyRentKenya
Lavington,Townhouse,5,6,N/A,En Suite,85000000,N/A,BuyRentKenya
Lavington,Townhouse,5,5,N/A,En Suite,90000000,N/A,BuyRentKenya
Westlands,Land,5,6,N/A,En Suite,350000000,N/A,BuyRentKenya
Westlands,Townhouse,5,5,N/A,En Suite,150000000,N/A,BuyRentKenya
Lavington,House,9,9,N/A,En Suite,350000000,N/A,BuyRentKenya
Lavington,Townhouse,4,4,N/A,En Suite,58000000,N/A,BuyRentKenya
Kileleshwa,Townhouse,4,4,N/A,En Suite,76000000,N/A,BuyRentKenya
Kileleshwa,Townhouse,4,5,N/A,En Suite,73000000,N/A,BuyRentKenya
Lavington,Townhouse,5,5,N/A,En Suite,110000000,N/A,BuyRentKenya
Nairobi,Apartment,2,2,N/A,En Suite,12000000,N/A,BuyRentKenya
Westlands,Land,4,4,N/A,En Suite,18000000,N/A,BuyRentKenya
Nairobi,Apartment,3,4,N/A,En Suite,17000000,N/A,BuyRentKenya
Lavington,Apartment,3,3,N/A,En Suite,11000000,N/A,BuyRentKenya
Westlands,Townhouse,3,3,65,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,10,BuyRentKenya
Westlands,Land,2,3,132,En Suite,10000000,N/A,BuyRentKenya
Kilimani,Apartment,5,6,N/A,En Suite,65000000,N/A,BuyRentKenya
Kileleshwa,Apartment,1,1,N/A,Swimming Pool,5500000,N/A,BuyRentKenya
