Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),Listing Date,Source
Loresho,Villa,4,N/A,N/A,None,35000000,N/A,PropertyPro
Kitisuru,Villa,5,5,N/A,None,125000000,N/A,PropertyPro
Nairobi,Apartment,5,5,N/A,None,125000000,N/A,PropertyPro
Kitisuru,Maisonette,5,5,N/A,None,60000000,N/A,PropertyPro
Nairobi,Apartment,5,5,N/A,None,60000000,N/A,PropertyPro
Industrial Area,Townhouse,1,4,142,"Garden, Parking, Balcony, Generator, SQ",2026000000,N/A,PropertyPro
Kitisuru,Villa,5,5,N/A,None,245000000,N/A,PropertyPro
Lavington,Apartment,4,N/A,N/A,None,30000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,30000000,N/A,PropertyPro
Industrial Area,Townhouse,1,5,100,"Garden, Parking, Balcony, CCTV, Generator, SQ",2026000000,N/A,PropertyPro
Kilimani,Apartment,2,N/A,N/A,None,18500000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,18500000,N/A,PropertyPro
Kilimani,Apartment,1,N/A,N/A,None,5000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,5000000,N/A,PropertyPro
Kilimani,Apartment,2,N/A,100,SQ,9500000,N/A,PropertyPro
Kilimani,Apartment,2,N/A,70,SQ,7500000,N/A,PropertyPro
Kilimani,Apartment,3,N/A,N/A,None,13500000,N/A,PropertyPro
Kitisuru,Apartment,2,2,N/A,None,12000000,N/A,PropertyPro
Kilimani,Studio,N/A,N/A,40,SQ,3500000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,3500000,N/A,PropertyPro
Kilimani,Apartment,1,N/A,60,SQ,5500000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,5500000,N/A,PropertyPro
Kitisuru,Apartment,3,3,N/A,None,15000000,N/A,PropertyPro
Kilimani,Apartment,1,N/A,70,SQ,5800000,N/A,PropertyPro
Kilimani,Apartment,2,N/A,107,SQ,8000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,8000000,N/A,PropertyPro
Kilimani,Apartment,3,N/A,115,SQ,9800000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,9800000,N/A,PropertyPro
Kilimani,Apartment,3,N/A,N/A,None,13000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,13000000,N/A,PropertyPro
Kileleshwa,Apartment,3,N/A,N/A,None,10500000,N/A,PropertyPro
Kitisuru,Apartment,1,1,N/A,None,5550000,N/A,PropertyPro
Nairobi,Apartment,1,1,N/A,None,5550000,N/A,PropertyPro
Kileleshwa,Apartment,3,N/A,N/A,None,14500000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,14500000,N/A,PropertyPro
Kitisuru,Apartment,2,2,N/A,None,11000000,N/A,PropertyPro
Lavington,House,5,N/A,N/A,None,75000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,75000000,N/A,PropertyPro
Lavington,Apartment,3,N/A,N/A,None,25000000,N/A,PropertyPro
Kilimani,Apartment,1,N/A,N/A,None,7000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,7000000,N/A,PropertyPro
Lavington,Apartment,2,N/A,N/A,None,9000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,9000000,N/A,PropertyPro
Lavington,Land,N/A,N/A,N/A,None,180000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,180000000,N/A,PropertyPro
Ngong,House,4,N/A,N/A,None,20000000,N/A,PropertyPro
Lavington,Apartment,3,N/A,N/A,None,17500000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,17500000,N/A,PropertyPro
Kileleshwa,Apartment,3,N/A,N/A,None,16500000,N/A,PropertyPro
Kilimani,Apartment,3,N/A,N/A,None,22000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,22000000,N/A,PropertyPro
Kileleshwa,Apartment,2,N/A,N/A,None,15500000,N/A,PropertyPro
Parklands,Land,4,N/A,N/A,None,43000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,43000000,N/A,PropertyPro
Nairobi,House,4,N/A,N/A,None,80000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,80000000,N/A,PropertyPro
Loresho,House,4,N/A,N/A,None,39000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,39000000,N/A,PropertyPro
Kileleshwa,Apartment,3,N/A,140,SQ,13500000,N/A,PropertyPro
Kileleshwa,Apartment,3,N/A,130,SQ,11000000,N/A,PropertyPro
Kitisuru,Apartment,1,1,N/A,None,3600000,N/A,PropertyPro
Nairobi,Apartment,1,1,N/A,None,3600000,N/A,PropertyPro
Lavington,Apartment,3,N/A,N/A,None,18000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,18000000,N/A,PropertyPro
Kitisuru,Apartment,2,2,N/A,None,9500000,N/A,PropertyPro
Kitisuru,Apartment,1,1,N/A,None,4200000,N/A,PropertyPro
Nairobi,Apartment,1,1,N/A,None,4200000,N/A,PropertyPro
Kitisuru,Apartment,1,1,N/A,None,6500000,N/A,PropertyPro
Nairobi,Apartment,1,1,N/A,None,6500000,N/A,PropertyPro
Kitisuru,Apartment,1,1,N/A,None,5000000,N/A,PropertyPro
Kilimani,Apartment,2,2,N/A,None,8400000,N/A,PropertyPro
Nairobi,Apartment,2,2,N/A,None,8400000,N/A,PropertyPro
Lavington,Apartment,2,1,N/A,None,6500000,N/A,PropertyPro
Lavington,Apartment,2,2,N/A,None,11500000,N/A,PropertyPro
Karen,Land,N/A,N/A,4046.9,None,60000000,N/A,PropertyPro
Karen,Land,N/A,N/A,8093.7,None,30000000,N/A,PropertyPro
Karen,Land,N/A,N/A,8093.7,None,32000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,32000000,N/A,PropertyPro
Karen,Land,N/A,N/A,8093.7,None,28000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,28000000,N/A,PropertyPro
Karen,Land,N/A,N/A,8093.7,None,27000000,N/A,PropertyPro
Kitisuru,Apartment,2,2,N/A,None,8500000,N/A,PropertyPro
Nairobi,Apartment,2,2,N/A,None,8500000,N/A,PropertyPro
Lavington,Apartment,3,N/A,N/A,None,22000000,N/A,PropertyPro
Mountain View,House,4,N/A,N/A,None,26000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,26000000,N/A,PropertyPro
Lavington,Apartment,4,4,N/A,SQ,24000000,N/A,PropertyPro
Nairobi,Apartment,4,4,N/A,None,24000000,N/A,PropertyPro
Kitisuru,Apartment,2,2,N/A,None,12500000,N/A,PropertyPro
Kilimani,Apartment,3,N/A,N/A,None,16500000,N/A,PropertyPro
Kilimani,Apartment,2,N/A,N/A,None,14000000,N/A,PropertyPro
Kileleshwa,Apartment,4,N/A,211,SQ,23000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,23000000,N/A,PropertyPro
Kileleshwa,Apartment,3,N/A,179,SQ,17000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,17000000,N/A,PropertyPro
Kileleshwa,Apartment,3,N/A,N/A,None,23000000,N/A,PropertyPro
Runda,House,5,N/A,N/A,None,120000000,N/A,PropertyPro
Lavington,Apartment,3,3,N/A,None,23000000,N/A,PropertyPro
Runda,House,5,N/A,N/A,None,130000000,N/A,PropertyPro
Kilimani,Apartment,2,N/A,N/A,None,8000000,N/A,PropertyPro
Kileleshwa,Apartment,3,N/A,N/A,None,21500000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,21500000,N/A,PropertyPro
Kileleshwa,Apartment,2,N/A,N/A,None,14500000,N/A,PropertyPro
Kilimani,Apartment,2,N/A,N/A,None,15500000,N/A,PropertyPro
Runda,House,4,N/A,N/A,None,80000000,N/A,PropertyPro
Ruaka,House,4,N/A,N/A,None,55000000,N/A,PropertyPro
Nairobi,Townhouse,1,1,61,"Swimming Pool, Gym, Garden, Parking, Security, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Wi-Fi, Servant Quarter, SQ, Clubhouse, Playground, Gate, Intercom, Rooftop, Concierge, Jacuzzi, Store, Electric Fence",N/A,N/A,KenyaPropertyCentre
Lavington,House,1,1,61,"Swimming Pool, Gym, Garden, Parking, SQ, Rooftop, Concierge, Store",N/A,N/A,KenyaPropertyCentre
Kiambu,Commercial,N/A,N/A,15,"Gym, Parking, Security, SQ, Gate",N/A,N/A,KenyaPropertyCentre
Kilimani,Commercial,1,N/A,N/A,"Gym, Parking, Security, Lift, Rooftop",N/A,N/A,KenyaPropertyCentre
Nairobi,Commercial,N/A,N/A,10,"Garden, Security, SQ",N/A,N/A,KenyaPropertyCentre
Kileleshwa,Apartment,4,4,250,"Parking, Borehole, Lift, Balcony, Generator, SQ, Jacuzzi",N/A,N/A,KenyaPropertyCentre
Kileleshwa,Townhouse,5,5,N/A,"Parking, SQ",N/A,N/A,KenyaPropertyCentre
Lavington,House,3,4,N/A,"Swimming Pool, Gym, Parking, SQ",N/A,N/A,KenyaPropertyCentre
Parklands,Land,4,3,N/A,"Swimming Pool, Gym, Parking, Security, CCTV, Generator, Intercom, Rooftop, Lift",N/A,N/A,KenyaPropertyCentre
Parklands,Commercial,N/A,N/A,15,"Security, SQ",N/A,N/A,KenyaPropertyCentre
Westlands,Commercial,N/A,N/A,8,"Security, SQ",N/A,N/A,KenyaPropertyCentre
Westlands,Commercial,2,2,N/A,"Gym, Parking, Security, Borehole, Generator, Intercom",N/A,N/A,KenyaPropertyCentre
Westlands,Commercial,3,3,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Electric Fence",N/A,N/A,KenyaPropertyCentre
Westlands,Commercial,1,N/A,N/A,"Gym, Parking, Security, Balcony, Rooftop",N/A,N/A,KenyaPropertyCentre
Westlands,Townhouse,5,5,N/A,"Parking, Security, Servant Quarter, SQ, Gate",N/A,N/A,KenyaPropertyCentre
Westlands,Commercial,N/A,N/A,10,"Security, SQ",N/A,N/A,KenyaPropertyCentre
Westlands,Villa,N/A,N/A,30,"Security, SQ",N/A,N/A,KenyaPropertyCentre
Westlands,Commercial,N/A,N/A,10,"Security, Wi-Fi, SQ",N/A,N/A,KenyaPropertyCentre
Westlands,Villa,4,4,N/A,"Swimming Pool, Gym, Garden, Parking, Borehole, Balcony, CCTV, Generator, SQ, Clubhouse, Playground, Gate",N/A,N/A,KenyaPropertyCentre
Nairobi,Commercial,N/A,N/A,20,"Parking, Security, SQ",N/A,N/A,KenyaPropertyCentre
Nairobi,Commercial,1,N/A,N/A,None,1000000,N/A,KenyaPropertyCentre
Nairobi,Townhouse,1,1,61,"Swimming Pool, Gym, Garden, Parking, Security, Borehole, Lift, Balcony, CCTV, Generator, Solar, SQ, Clubhouse, Gate, Intercom, Rooftop, Concierge, Store, Laundry, Electric Fence",N/A,N/A,KenyaPropertyCentre
Ngong,Townhouse,3,3,215,"Garden, Parking, Solar, SQ, Gate, Laundry",N/A,N/A,KenyaPropertyCentre
Kiambu,Commercial,N/A,N/A,10,"Gym, Parking, Security, SQ, Gate",N/A,N/A,KenyaPropertyCentre
Kiambu,Commercial,N/A,N/A,20,"Gym, Parking, Security, SQ, Gate",N/A,N/A,KenyaPropertyCentre
Karen,Townhouse,5,5,N/A,"Swimming Pool, Gym, Garden, Parking, Balcony, CCTV, SQ, Laundry",N/A,N/A,KenyaPropertyCentre
Karen,Townhouse,5,5,450,"Swimming Pool, Garden, Parking, Security, Generator, Solar, SQ, Gate, Intercom, Laundry, Electric Fence",N/A,N/A,KenyaPropertyCentre
Kilimani,Commercial,3,3,N/A,"Gym, Garden, Security, Lift, Balcony, Clubhouse, Laundry",N/A,N/A,KenyaPropertyCentre
Kilimani,Commercial,2,2,N/A,"Swimming Pool, Gym, Garden, Parking, Security, Balcony, Clubhouse, Laundry, Lift",N/A,N/A,KenyaPropertyCentre
Kilimani,Commercial,1,1,N/A,"Gym, Parking, Security, Lift, Rooftop",N/A,N/A,KenyaPropertyCentre
Kileleshwa,Apartment,2,2,150,"Swimming Pool, Gym, Parking, Lift, Balcony, SQ, Laundry",N/A,N/A,KenyaPropertyCentre
Parklands,Commercial,N/A,N/A,15,"Security, SQ",N/A,N/A,KenyaPropertyCentre
Parklands,Commercial,N/A,N/A,10,"Security, SQ",N/A,N/A,KenyaPropertyCentre
Nairobi,Commercial,N/A,N/A,30,"Parking, Security, SQ",N/A,N/A,KenyaPropertyCentre
Westlands,Commercial,N/A,N/A,20,"Security, SQ",N/A,N/A,KenyaPropertyCentre
Westlands,Land,2,1,80,"Swimming Pool, Gym, Parking, Security, Lift, Balcony, CCTV, SQ, Intercom",N/A,N/A,KenyaPropertyCentre
Nairobi CBD,Commercial,3,2,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, CCTV, Generator, SQ, Intercom, Lift",N/A,N/A,KenyaPropertyCentre
Nairobi CBD,Commercial,2,2,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, CCTV, Generator, SQ, Intercom, Lift",N/A,N/A,KenyaPropertyCentre
Westlands,Commercial,N/A,N/A,30,"Security, SQ",N/A,N/A,KenyaPropertyCentre
Nairobi CBD,Land,2,2,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, Lift, CCTV, Generator, SQ, Clubhouse, Intercom",N/A,N/A,KenyaPropertyCentre
Ngong Road,Commercial,4,4,246,"Swimming Pool, Gym, Parking, Security, Borehole, Lift, Balcony, CCTV, Generator, SQ, Intercom",N/A,N/A,KenyaPropertyCentre
Kileleshwa,Land,3,3,N/A,"Swimming Pool, Gym, Garden, Parking, Security, Lift, Balcony, Laundry",N/A,N/A,KenyaPropertyCentre
Kileleshwa,House,3,3,N/A,"Swimming Pool, Parking, Lift, Balcony, SQ",N/A,N/A,KenyaPropertyCentre
Kileleshwa,House,4,4,N/A,"Parking, Borehole, Generator, SQ",N/A,N/A,KenyaPropertyCentre
Kileleshwa,Commercial,3,3,N/A,"Parking, Security, Balcony, SQ",N/A,N/A,KenyaPropertyCentre
Westlands,Townhouse,5,5,N/A,"Parking, Security, Balcony, CCTV, Gate, Laundry",N/A,N/A,KenyaPropertyCentre
Lavington,Townhouse,5,6,N/A,"Garden, Parking, Security, Balcony",N/A,N/A,KenyaPropertyCentre
Lavington,Townhouse,5,5,N/A,"Garden, Parking, SQ",N/A,N/A,KenyaPropertyCentre
Valley Arcade,Townhouse,5,5,N/A,"Garden, Parking, Security, Balcony, SQ, Store",N/A,N/A,KenyaPropertyCentre
Nairobi West,Townhouse,4,4,2650,"Swimming Pool, Gym, Parking, Security, Borehole, Balcony, CCTV, Generator, Solar, SQ, Clubhouse, Intercom, Laundry",N/A,N/A,KenyaPropertyCentre
Parklands,Land,4,3,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, Lift, CCTV, Generator, Gate, Rooftop",N/A,N/A,KenyaPropertyCentre
Westlands,Villa,N/A,N/A,20,"Security, SQ",N/A,N/A,KenyaPropertyCentre
Westlands,Commercial,N/A,N/A,8,"Security, SQ",N/A,N/A,KenyaPropertyCentre
Westlands,Commercial,N/A,N/A,15,"Security, SQ",N/A,N/A,KenyaPropertyCentre
Nairobi CBD,Commercial,1,1,N/A,"Gym, Parking, Borehole, Balcony, Generator, Intercom",N/A,N/A,KenyaPropertyCentre
Westlands,Commercial,3,3,N/A,"Swimming Pool, Gym, Garden, Parking, Security, Lift, Balcony, CCTV, Generator, Gate, Laundry",N/A,N/A,KenyaPropertyCentre
Westlands,Commercial,4,4,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, Lift, Balcony, CCTV, Generator, Gate, Sauna, Laundry",N/A,N/A,KenyaPropertyCentre
Westlands,Commercial,N/A,N/A,20,"Security, Wi-Fi, SQ",N/A,N/A,KenyaPropertyCentre
Karen,Villa,5,10,N/A,"Garden, Parking",N/A,N/A,KenyaPropertyCentre
Kilimani,Studio,1,1,N/A,"Gym, Parking, Lift",N/A,N/A,KenyaPropertyCentre
Kilimani,Villa,2,2,N/A,"Swimming Pool, Gym, Garden, Parking",N/A,N/A,KenyaPropertyCentre
Kilimani,Villa,1,1,N/A,"Swimming Pool, Gym, Garden, Parking",N/A,N/A,KenyaPropertyCentre
Kilimani,House,2,3,N/A,"Gym, Parking, Lift, Generator",N/A,N/A,KenyaPropertyCentre
Kilimani,House,1,1,N/A,Parking,N/A,N/A,KenyaPropertyCentre
Kilimani,House,3,N/A,130,"Parking, SQ",N/A,N/A,KenyaPropertyCentre
Kilimani,Commercial,N/A,N/A,20,"Security, SQ",N/A,N/A,KenyaPropertyCentre
Kilimani,Commercial,N/A,N/A,10,"Security, SQ",N/A,N/A,KenyaPropertyCentre
Kileleshwa,Apartment,3,3,N/A,"Swimming Pool, Gym, Parking, Borehole",N/A,N/A,KenyaPropertyCentre
Kileleshwa,House,2,2,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, CCTV, Generator, SQ, Clubhouse, Intercom, Electric Fence",N/A,N/A,KenyaPropertyCentre
Kileleshwa,Commercial,3,3,N/A,"Gym, Garden, Parking, Security, Lift, Balcony, CCTV, SQ",N/A,N/A,KenyaPropertyCentre
Nairobi CBD,House,2,2,N/A,"Parking, SQ",N/A,N/A,KenyaPropertyCentre
Membley,Commercial,N/A,N/A,32374.9,Gate,N/A,N/A,KenyaPropertyCentre
Karen,Bungalow,1,2,N/A,Parking,N/A,N/A,KenyaPropertyCentre
Karen,Bungalow,2,2,N/A,"Parking, En Suite, Gate, Laundry",N/A,N/A,KenyaPropertyCentre
Karen,Townhouse,5,5,N/A,"Parking, En Suite, Gate, Laundry",N/A,N/A,KenyaPropertyCentre
Kilimani,Villa,2,1,N/A,"Swimming Pool, Gym, Parking, Borehole, Balcony, Generator, Laundry",N/A,N/A,KenyaPropertyCentre
Kilimani,Villa,1,2,N/A,"Gym, Garden, Parking, Lift",N/A,N/A,KenyaPropertyCentre
Kilimani,Villa,3,2,N/A,"Swimming Pool, Parking",N/A,N/A,KenyaPropertyCentre
Kilimani,Apartment,1,1,N/A,"Swimming Pool, Gym, Parking",N/A,N/A,KenyaPropertyCentre
Ruaraka,Commercial,N/A,N/A,1486,"Parking, Security, Borehole, Lift, CCTV, SQ",N/A,N/A,KenyaPropertyCentre
Kasarani,Bungalow,3,2,32374.9,"Parking, SQ, Gate",N/A,N/A,KenyaPropertyCentre
Kileleshwa,Villa,2,2,N/A,"Parking, Laundry",N/A,N/A,KenyaPropertyCentre
Kileleshwa,Studio,1,1,N/A,"Gym, Parking, Security, Borehole, Lift, CCTV, Generator",N/A,N/A,KenyaPropertyCentre
Kileleshwa,Townhouse,5,6,N/A,"Parking, Balcony",N/A,N/A,KenyaPropertyCentre
Lavington,Commercial,2,2,N/A,"Garden, Parking",N/A,N/A,KenyaPropertyCentre
Westlands,Studio,2,2,68,"Swimming Pool, Parking, Borehole, Lift, CCTV, SQ, Store",N/A,N/A,KenyaPropertyCentre
Nairobi,Villa,3,N/A,N/A,"Swimming Pool, Parking, Security",N/A,N/A,KenyaPropertyCentre
Nairobi,Commercial,N/A,N/A,N/A,None,N/A,N/A,KenyaPropertyCentre
Syokimau,House,3,3,N/A,"Parking, Laundry",N/A,N/A,KenyaPropertyCentre
Thika,Commercial,N/A,N/A,20234,"SQ, Gate",N/A,N/A,KenyaPropertyCentre
Muthaiga,House,3,2,N/A,"Swimming Pool, Gym, Garden, Parking, Security, Generator, Jacuzzi",N/A,N/A,KenyaPropertyCentre
Membley,Townhouse,4,5,32374.9,"Parking, Gate, Rooftop, Laundry",N/A,N/A,KenyaPropertyCentre
Industrial Area,Commercial,N/A,2,464.5,"Borehole, SQ",N/A,N/A,KenyaPropertyCentre
Nairobi CBD,Bungalow,3,2,N/A,"Garden, Parking, Security, Gate",N/A,N/A,KenyaPropertyCentre
Karen,Townhouse,5,N/A,N/A,"Swimming Pool, Garden, Parking, Security, Borehole, Balcony, Clubhouse, Gate, Sauna",N/A,N/A,KenyaPropertyCentre
Langata,Villa,5,5,N/A,"Swimming Pool, Gym, Garden, Parking, Solar, Clubhouse, Sauna",N/A,N/A,KenyaPropertyCentre
Kilimani,Commercial,3,3,205,"Swimming Pool, Gym, Parking, Security, Lift, SQ, Rooftop",N/A,N/A,KenyaPropertyCentre
Kileleshwa,Apartment,2,2,N/A,Parking,N/A,N/A,KenyaPropertyCentre
Parklands,Land,4,4,N/A,"Swimming Pool, Gym, Garden, Parking, Borehole, En Suite, Balcony, Generator, Solar, SQ, Rooftop, Laundry, Lift",N/A,N/A,KenyaPropertyCentre
Westlands,Land,N/A,N/A,N/A,None,N/A,N/A,KenyaPropertyCentre
Westlands,Villa,5,5,N/A,"Gym, Garden, Parking, Security, Balcony, CCTV, SQ, Intercom, Sauna, Electric Fence",N/A,N/A,KenyaPropertyCentre
Westlands,Land,1,1,N/A,"Swimming Pool, Gym, Parking, Security, Lift, CCTV, Rooftop",N/A,N/A,KenyaPropertyCentre
Westlands,Commercial,3,3,223.0,"Swimming Pool, Gym, Parking, Security, Borehole, Balcony, Generator, Solar, SQ, Gate, Intercom, Rooftop, Laundry",N/A,N/A,KenyaPropertyCentre
Westlands,Villa,6,6,2023.4,"Swimming Pool, Garden, Parking, Security, Borehole, CCTV, Generator, Fibre, Servant Quarter, SQ, Gate, Lift",N/A,N/A,KenyaPropertyCentre
Westlands,Townhouse,4,4,N/A,Parking,N/A,N/A,KenyaPropertyCentre
Westlands,Studio,1,1,68,"Swimming Pool, Parking, Borehole, Lift, CCTV, SQ, Store",N/A,N/A,KenyaPropertyCentre
Nairobi,Land,N/A,N/A,N/A,None,N/A,N/A,KenyaPropertyCentre
Nairobi,Townhouse,4,44,32374.9,"Parking, Generator",N/A,N/A,KenyaPropertyCentre
Nairobi,Townhouse,6,6,4046.9,Parking,N/A,N/A,KenyaPropertyCentre
Nairobi,Townhouse,5,5,N/A,Parking,N/A,N/A,KenyaPropertyCentre
Spring Valley,Commercial,N/A,2,260,"Garden, Parking, Security, Generator, SQ",N/A,N/A,KenyaPropertyCentre
Thika Road,Maisonette,4,5,N/A,"Parking, CCTV, SQ, Gate, Rooftop",N/A,N/A,KenyaPropertyCentre
Karen,Commercial,4,5,N/A,"Swimming Pool, Parking, Security, SQ, Gate",N/A,N/A,KenyaPropertyCentre
Karen,Land,4,5,N/A,"Parking, SQ",N/A,N/A,KenyaPropertyCentre
Karen,Land,4,5,N/A,"Garden, Parking, SQ, Gate",N/A,N/A,KenyaPropertyCentre
Karen,Land,4,5,N/A,"Garden, Parking, SQ",N/A,N/A,KenyaPropertyCentre
Kileleshwa,Townhouse,4,4,N/A,"Parking, Security, SQ, Gate, Laundry",N/A,N/A,KenyaPropertyCentre
Lavington,Townhouse,5,5,N/A,"Parking, Balcony, Servant Quarter, SQ",N/A,N/A,KenyaPropertyCentre
Valley Arcade,Commercial,2,2,N/A,"Gym, Garden, Parking, Borehole, Lift, Generator, Rooftop",N/A,N/A,KenyaPropertyCentre
Valley Arcade,Apartment,2,2,N/A,"Gym, Garden, Parking, Borehole, Lift, Generator, Rooftop",N/A,N/A,KenyaPropertyCentre
Westlands,Land,4,5,N/A,"Parking, SQ, Gate",N/A,N/A,KenyaPropertyCentre
Mountain View,Townhouse,4,3,N/A,"Parking, SQ",N/A,N/A,KenyaPropertyCentre
Athi River,Commercial,N/A,N/A,80937,SQ,N/A,N/A,KenyaPropertyCentre
Nairobi,Land,N/A,N/A,20234.3,None,N/A,N/A,KenyaPropertyCentre
Kitengela,Bungalow,3,4,464,"Garden, SQ, Gate",N/A,N/A,KenyaPropertyCentre
Kitengela,Bungalow,3,3,456,"Garden, Parking, SQ, Gate",N/A,N/A,KenyaPropertyCentre
Ngong,Maisonette,3,3,215,"Garden, Parking, Solar, SQ, Gate, Laundry",N/A,N/A,KenyaPropertyCentre
Ngong,Bungalow,3,2,N/A,"Garden, Parking, Security, SQ, Gate",N/A,N/A,KenyaPropertyCentre
Thika Road,Villa,4,5,N/A,"SQ, Gate",N/A,N/A,KenyaPropertyCentre
Karen,Land,4,5,2024,"Garden, SQ, Gate",N/A,N/A,KenyaPropertyCentre
Karen,Commercial,3,4,2024,"Garden, Parking, En Suite, Solar, SQ, Sauna",N/A,N/A,KenyaPropertyCentre
Kilimani,Commercial,1,1,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, Lift, CCTV, Generator, Clubhouse",N/A,N/A,KenyaPropertyCentre
Kileleshwa,Villa,2,1,N/A,"Swimming Pool, Parking, Balcony, Clubhouse",N/A,N/A,KenyaPropertyCentre
Lavington,House,3,4,N/A,"Swimming Pool, Parking, Security, Balcony, Generator, SQ, Gate, Lift",N/A,N/A,KenyaPropertyCentre
Nairobi CBD,House,2,2,N/A,"Parking, Security, Borehole, Balcony, Generator, Gate, Lift",N/A,N/A,KenyaPropertyCentre
Lavington,Apartment,2,N/A,N/A,"Swimming Pool, Gym, Parking, Borehole, CCTV, Laundry, Electric Fence",N/A,N/A,KenyaPropertyCentre
Westlands,Land,4,4,N/A,"Gym, Parking, Security, Lift, Balcony, Generator, SQ, Gate, Intercom, Sauna, Electric Fence",N/A,N/A,KenyaPropertyCentre
Westlands,Land,2,3,N/A,"Swimming Pool, Gym, Garden, Borehole",N/A,N/A,KenyaPropertyCentre
Westlands,Townhouse,5,7,2428.1,"Swimming Pool, Garden, Parking, Solar, SQ",N/A,N/A,KenyaPropertyCentre
Westlands,Land,2,1,N/A,"Parking, Security, En Suite, Solar",N/A,N/A,KenyaPropertyCentre
Westlands,Land,1,1,67,"Swimming Pool, Gym, Garden, Parking, Security, CCTV, Generator, SQ, Rooftop",N/A,N/A,KenyaPropertyCentre
Nairobi,Townhouse,5,5,N/A,Parking,N/A,N/A,KenyaPropertyCentre
Spring Valley,Townhouse,5,5,594.6,"Garden, Parking, Security, Borehole, Generator, Solar, SQ, Gate, Laundry",N/A,N/A,KenyaPropertyCentre
Ngong Road,Maisonette,7,6,N/A,Parking,N/A,N/A,KenyaPropertyCentre
Thika Road,Maisonette,4,5,N/A,"Parking, CCTV, SQ, Gate, Rooftop",N/A,N/A,KenyaPropertyCentre
Karen,Land,4,5,N/A,"Garden, Parking, SQ",N/A,N/A,KenyaPropertyCentre
Karen,Commercial,4,5,N/A,"Swimming Pool, Parking, Security, SQ, Gate",N/A,N/A,KenyaPropertyCentre
Karen,Land,4,5,N/A,"Parking, SQ",N/A,N/A,KenyaPropertyCentre
Karen,Land,4,5,N/A,"Garden, Parking, SQ, Gate",N/A,N/A,KenyaPropertyCentre
Kilimani,Commercial,2,2,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, Lift, CCTV, Generator, Clubhouse",N/A,N/A,KenyaPropertyCentre
Kileleshwa,Studio,1,1,48,"Swimming Pool, Gym, Parking, Borehole, Lift, Generator, SQ, Sauna",N/A,N/A,KenyaPropertyCentre
Kileleshwa,Apartment,1,1,63,"Swimming Pool, Gym, Parking, Borehole, Lift, Generator, SQ, Sauna",N/A,N/A,KenyaPropertyCentre
Kileleshwa,Apartment,2,2,85,"Swimming Pool, Gym, Parking, Borehole, Lift, Generator, SQ, Sauna",N/A,N/A,KenyaPropertyCentre
Kileleshwa,Commercial,4,4,N/A,"Parking, Security, Borehole, Lift, Balcony, CCTV, Generator, Laundry",N/A,N/A,KenyaPropertyCentre
Valley Arcade,House,2,2,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, Balcony, Generator, Lift",N/A,N/A,KenyaPropertyCentre
