Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),Listing Date
Lavington,Apartment,3,N/A,N/A,None,22000000,N/A
Mountain View,House,4,N/A,N/A,None,26000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,26000000,N/A
Lavington,Apartment,4,4,N/A,SQ,24000000,N/A
Nairobi,Apartment,4,4,N/A,None,24000000,N/A
Kitisuru,Apartment,2,2,N/A,None,12500000,N/A
Kilimani,Apartment,3,N/A,N/A,None,16500000,N/A
Kilimani,Apartment,2,N/A,N/A,None,14000000,N/A
Kileleshwa,Apartment,4,N/A,211,SQ,23000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,23000000,N/A
Kileleshwa,Apartment,3,N/A,179,SQ,17000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,17000000,N/A
Kileleshwa,Apartment,3,N/A,N/A,None,23000000,N/A
Runda,House,5,N/A,N/A,None,120000000,N/A
Lavington,Apartment,3,3,N/A,None,23000000,N/A
Runda,House,5,N/A,N/A,None,130000000,N/A
Kilimani,Apartment,2,N/A,N/A,None,8000000,N/A
Kileleshwa,Apartment,3,N/A,N/A,None,21500000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,21500000,N/A
Kileleshwa,Apartment,2,N/A,N/A,None,14500000,N/A
Kilimani,Apartment,2,N/A,N/A,None,15500000,N/A
Runda,House,4,N/A,N/A,None,80000000,N/A
Ruaka,House,4,N/A,N/A,None,55000000,N/A
Nairobi,Townhouse,1,1,61,"Swimming Pool, Gym, Garden, Parking, Security, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Wi-Fi, Servant Quarter, SQ, Clubhouse, Playground, Gate, Intercom, Rooftop, Concierge, Jacuzzi, Store, Electric Fence",N/A,N/A
Lavington,House,1,1,61,"Swimming Pool, Gym, Garden, Parking, SQ, Rooftop, Concierge, Store",N/A,N/A
Kiambu,Commercial,N/A,N/A,15,"Gym, Parking, Security, SQ, Gate",N/A,N/A
Kilimani,Commercial,1,N/A,N/A,"Gym, Parking, Security, Lift, Rooftop",N/A,N/A
Nairobi,Commercial,N/A,N/A,10,"Garden, Security, SQ",N/A,N/A
Kileleshwa,Apartment,4,4,250,"Parking, Borehole, Lift, Balcony, Generator, SQ, Jacuzzi",N/A,N/A
Kileleshwa,Townhouse,5,5,N/A,"Parking, SQ",N/A,N/A
Lavington,House,3,4,N/A,"Swimming Pool, Gym, Parking, SQ",N/A,N/A
Parklands,Land,4,3,N/A,"Swimming Pool, Gym, Parking, Security, CCTV, Generator, Intercom, Rooftop, Lift",N/A,N/A
Parklands,Commercial,N/A,N/A,15,"Security, SQ",N/A,N/A
Westlands,Commercial,N/A,N/A,8,"Security, SQ",N/A,N/A
Westlands,Commercial,2,2,N/A,"Gym, Parking, Security, Borehole, Generator, Intercom",N/A,N/A
Westlands,Commercial,3,3,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Electric Fence",N/A,N/A
Westlands,Commercial,1,N/A,N/A,"Gym, Parking, Security, Balcony, Rooftop",N/A,N/A
Westlands,Townhouse,5,5,N/A,"Parking, Security, Servant Quarter, SQ, Gate",N/A,N/A
Westlands,Commercial,N/A,N/A,10,"Security, SQ",N/A,N/A
Westlands,Villa,N/A,N/A,30,"Security, SQ",N/A,N/A
Westlands,Commercial,N/A,N/A,10,"Security, Wi-Fi, SQ",N/A,N/A
Westlands,Villa,4,4,N/A,"Swimming Pool, Gym, Garden, Parking, Borehole, Balcony, CCTV, Generator, SQ, Clubhouse, Playground, Gate",N/A,N/A
Nairobi,Commercial,N/A,N/A,20,"Parking, Security, SQ",N/A,N/A
Nairobi,Commercial,1,N/A,N/A,None,1000000,N/A
Nairobi,Townhouse,1,1,61,"Swimming Pool, Gym, Garden, Parking, Security, Borehole, Lift, Balcony, CCTV, Generator, Solar, SQ, Clubhouse, Gate, Intercom, Rooftop, Concierge, Store, Laundry, Electric Fence",N/A,N/A
Ngong,Townhouse,3,3,215,"Garden, Parking, Solar, SQ, Gate, Laundry",N/A,N/A
Kiambu,Commercial,N/A,N/A,10,"Gym, Parking, Security, SQ, Gate",N/A,N/A
Kiambu,Commercial,N/A,N/A,20,"Gym, Parking, Security, SQ, Gate",N/A,N/A
Karen,Townhouse,5,5,N/A,"Swimming Pool, Gym, Garden, Parking, Balcony, CCTV, SQ, Laundry",N/A,N/A
Karen,Townhouse,5,5,450,"Swimming Pool, Garden, Parking, Security, Generator, Solar, SQ, Gate, Intercom, Laundry, Electric Fence",N/A,N/A
Kilimani,Commercial,3,3,N/A,"Gym, Garden, Security, Lift, Balcony, Clubhouse, Laundry",N/A,N/A
Kilimani,Commercial,2,2,N/A,"Swimming Pool, Gym, Garden, Parking, Security, Balcony, Clubhouse, Laundry, Lift",N/A,N/A
Kilimani,Commercial,1,1,N/A,"Gym, Parking, Security, Lift, Rooftop",N/A,N/A
Kileleshwa,Apartment,2,2,150,"Swimming Pool, Gym, Parking, Lift, Balcony, SQ, Laundry",N/A,N/A
Parklands,Commercial,N/A,N/A,15,"Security, SQ",N/A,N/A
Parklands,Commercial,N/A,N/A,10,"Security, SQ",N/A,N/A
Nairobi,Commercial,N/A,N/A,30,"Parking, Security, SQ",N/A,N/A
Westlands,Commercial,N/A,N/A,20,"Security, SQ",N/A,N/A
Westlands,Land,2,1,80,"Swimming Pool, Gym, Parking, Security, Lift, Balcony, CCTV, SQ, Intercom",N/A,N/A
Nairobi CBD,Commercial,3,2,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, CCTV, Generator, SQ, Intercom, Lift",N/A,N/A
Nairobi CBD,Commercial,2,2,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, CCTV, Generator, SQ, Intercom, Lift",N/A,N/A
Westlands,Commercial,N/A,N/A,30,"Security, SQ",N/A,N/A
Nairobi CBD,Land,2,2,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, Lift, CCTV, Generator, SQ, Clubhouse, Intercom",N/A,N/A
Ngong Road,Commercial,4,4,246,"Swimming Pool, Gym, Parking, Security, Borehole, Lift, Balcony, CCTV, Generator, SQ, Intercom",N/A,N/A
Kileleshwa,Land,3,3,N/A,"Swimming Pool, Gym, Garden, Parking, Security, Lift, Balcony, Laundry",N/A,N/A
Kileleshwa,House,3,3,N/A,"Swimming Pool, Parking, Lift, Balcony, SQ",N/A,N/A
Kileleshwa,House,4,4,N/A,"Parking, Borehole, Generator, SQ",N/A,N/A
Kileleshwa,Commercial,3,3,N/A,"Parking, Security, Balcony, SQ",N/A,N/A
Westlands,Townhouse,5,5,N/A,"Parking, Security, Balcony, CCTV, Gate, Laundry",N/A,N/A
Lavington,Townhouse,5,6,N/A,"Garden, Parking, Security, Balcony",N/A,N/A
Lavington,Townhouse,5,5,N/A,"Garden, Parking, SQ",N/A,N/A
Valley Arcade,Townhouse,5,5,N/A,"Garden, Parking, Security, Balcony, SQ, Store",N/A,N/A
Nairobi West,Townhouse,4,4,2650,"Swimming Pool, Gym, Parking, Security, Borehole, Balcony, CCTV, Generator, Solar, SQ, Clubhouse, Intercom, Laundry",N/A,N/A
Parklands,Land,4,3,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, Lift, CCTV, Generator, Gate, Rooftop",N/A,N/A
Westlands,Villa,N/A,N/A,20,"Security, SQ",N/A,N/A
Westlands,Commercial,N/A,N/A,8,"Security, SQ",N/A,N/A
Westlands,Commercial,N/A,N/A,15,"Security, SQ",N/A,N/A
Nairobi CBD,Commercial,1,1,N/A,"Gym, Parking, Borehole, Balcony, Generator, Intercom",N/A,N/A
Westlands,Commercial,3,3,N/A,"Swimming Pool, Gym, Garden, Parking, Security, Lift, Balcony, CCTV, Generator, Gate, Laundry",N/A,N/A
Westlands,Commercial,4,4,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, Lift, Balcony, CCTV, Generator, Gate, Sauna, Laundry",N/A,N/A
Westlands,Commercial,N/A,N/A,20,"Security, Wi-Fi, SQ",N/A,N/A
Karen,Villa,5,10,N/A,"Garden, Parking",N/A,N/A
Kilimani,Studio,1,1,N/A,"Gym, Parking, Lift",N/A,N/A
Kilimani,Villa,2,2,N/A,"Swimming Pool, Gym, Garden, Parking",N/A,N/A
Kilimani,Villa,1,1,N/A,"Swimming Pool, Gym, Garden, Parking",N/A,N/A
Kilimani,House,2,3,N/A,"Gym, Parking, Lift, Generator",N/A,N/A
Kilimani,House,1,1,N/A,Parking,N/A,N/A
Kilimani,House,3,N/A,130,"Parking, SQ",N/A,N/A
Kilimani,Commercial,N/A,N/A,20,"Security, SQ",N/A,N/A
Kilimani,Commercial,N/A,N/A,10,"Security, SQ",N/A,N/A
Kileleshwa,Apartment,3,3,N/A,"Swimming Pool, Gym, Parking, Borehole",N/A,N/A
Kileleshwa,House,2,2,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, CCTV, Generator, SQ, Clubhouse, Intercom, Electric Fence",N/A,N/A
Kileleshwa,Commercial,3,3,N/A,"Gym, Garden, Parking, Security, Lift, Balcony, CCTV, SQ",N/A,N/A
Nairobi CBD,House,2,2,N/A,"Parking, SQ",N/A,N/A
Membley,Commercial,N/A,N/A,32374.9,Gate,N/A,N/A
Karen,Bungalow,1,2,N/A,Parking,N/A,N/A
Karen,Bungalow,2,2,N/A,"Parking, En Suite, Gate, Laundry",N/A,N/A
Karen,Townhouse,5,5,N/A,"Parking, En Suite, Gate, Laundry",N/A,N/A
Kilimani,Villa,2,1,N/A,"Swimming Pool, Gym, Parking, Borehole, Balcony, Generator, Laundry",N/A,N/A
Kilimani,Villa,1,2,N/A,"Gym, Garden, Parking, Lift",N/A,N/A
Kilimani,Villa,3,2,N/A,"Swimming Pool, Parking",N/A,N/A
Kilimani,Apartment,1,1,N/A,"Swimming Pool, Gym, Parking",N/A,N/A
Ruaraka,Commercial,N/A,N/A,1486,"Parking, Security, Borehole, Lift, CCTV, SQ",N/A,N/A
Kasarani,Bungalow,3,2,32374.9,"Parking, SQ, Gate",N/A,N/A
Kileleshwa,Villa,2,2,N/A,"Parking, Laundry",N/A,N/A
Kileleshwa,Studio,1,1,N/A,"Gym, Parking, Security, Borehole, Lift, CCTV, Generator",N/A,N/A
Kileleshwa,Townhouse,5,6,N/A,"Parking, Balcony",N/A,N/A
Lavington,Commercial,2,2,N/A,"Garden, Parking",N/A,N/A
Westlands,Studio,2,2,68,"Swimming Pool, Parking, Borehole, Lift, CCTV, SQ, Store",N/A,N/A
Nairobi,Villa,3,N/A,N/A,"Swimming Pool, Parking, Security",N/A,N/A
Nairobi,Commercial,N/A,N/A,N/A,None,N/A,N/A
Syokimau,House,3,3,N/A,"Parking, Laundry",N/A,N/A
Thika,Commercial,N/A,N/A,20234,"SQ, Gate",N/A,N/A
Muthaiga,House,3,2,N/A,"Swimming Pool, Gym, Garden, Parking, Security, Generator, Jacuzzi",N/A,N/A
Membley,Townhouse,4,5,32374.9,"Parking, Gate, Rooftop, Laundry",N/A,N/A
Industrial Area,Commercial,N/A,2,464.5,"Borehole, SQ",N/A,N/A
Nairobi CBD,Bungalow,3,2,N/A,"Garden, Parking, Security, Gate",N/A,N/A
Karen,Townhouse,5,N/A,N/A,"Swimming Pool, Garden, Parking, Security, Borehole, Balcony, Clubhouse, Gate, Sauna",N/A,N/A
Langata,Villa,5,5,N/A,"Swimming Pool, Gym, Garden, Parking, Solar, Clubhouse, Sauna",N/A,N/A
Kilimani,Commercial,3,3,205,"Swimming Pool, Gym, Parking, Security, Lift, SQ, Rooftop",N/A,N/A
Kileleshwa,Apartment,2,2,N/A,Parking,N/A,N/A
Parklands,Land,4,4,N/A,"Swimming Pool, Gym, Garden, Parking, Borehole, En Suite, Balcony, Generator, Solar, SQ, Rooftop, Laundry, Lift",N/A,N/A
Westlands,Land,N/A,N/A,N/A,None,N/A,N/A
Westlands,Villa,5,5,N/A,"Gym, Garden, Parking, Security, Balcony, CCTV, SQ, Intercom, Sauna, Electric Fence",N/A,N/A
Westlands,Land,1,1,N/A,"Swimming Pool, Gym, Parking, Security, Lift, CCTV, Rooftop",N/A,N/A
Westlands,Commercial,3,3,223.0,"Swimming Pool, Gym, Parking, Security, Borehole, Balcony, Generator, Solar, SQ, Gate, Intercom, Rooftop, Laundry",N/A,N/A
Westlands,Villa,6,6,2023.4,"Swimming Pool, Garden, Parking, Security, Borehole, CCTV, Generator, Fibre, Servant Quarter, SQ, Gate, Lift",N/A,N/A
Westlands,Townhouse,4,4,N/A,Parking,N/A,N/A
Westlands,Studio,1,1,68,"Swimming Pool, Parking, Borehole, Lift, CCTV, SQ, Store",N/A,N/A
Nairobi,Land,N/A,N/A,N/A,None,N/A,N/A
Nairobi,Townhouse,4,44,32374.9,"Parking, Generator",N/A,N/A
Nairobi,Townhouse,6,6,4046.9,Parking,N/A,N/A
Nairobi,Townhouse,5,5,N/A,Parking,N/A,N/A
Spring Valley,Commercial,N/A,2,260,"Garden, Parking, Security, Generator, SQ",N/A,N/A
Thika Road,Maisonette,4,5,N/A,"Parking, CCTV, SQ, Gate, Rooftop",N/A,N/A
Karen,Commercial,4,5,N/A,"Swimming Pool, Parking, Security, SQ, Gate",N/A,N/A
Karen,Land,4,5,N/A,"Parking, SQ",N/A,N/A
Karen,Land,4,5,N/A,"Garden, Parking, SQ, Gate",N/A,N/A
Karen,Land,4,5,N/A,"Garden, Parking, SQ",N/A,N/A
Kileleshwa,Townhouse,4,4,N/A,"Parking, Security, SQ, Gate, Laundry",N/A,N/A
Lavington,Townhouse,5,5,N/A,"Parking, Balcony, Servant Quarter, SQ",N/A,N/A
Valley Arcade,Commercial,2,2,N/A,"Gym, Garden, Parking, Borehole, Lift, Generator, Rooftop",N/A,N/A
Valley Arcade,Apartment,2,2,N/A,"Gym, Garden, Parking, Borehole, Lift, Generator, Rooftop",N/A,N/A
Westlands,Land,4,5,N/A,"Parking, SQ, Gate",N/A,N/A
Mountain View,Townhouse,4,3,N/A,"Parking, SQ",N/A,N/A
Athi River,Commercial,N/A,N/A,80937,SQ,N/A,N/A
Nairobi,Land,N/A,N/A,20234.3,None,N/A,N/A
Kitengela,Bungalow,3,4,464,"Garden, SQ, Gate",N/A,N/A
Kitengela,Bungalow,3,3,456,"Garden, Parking, SQ, Gate",N/A,N/A
Ngong,Maisonette,3,3,215,"Garden, Parking, Solar, SQ, Gate, Laundry",N/A,N/A
Ngong,Bungalow,3,2,N/A,"Garden, Parking, Security, SQ, Gate",N/A,N/A
Thika Road,Villa,4,5,N/A,"SQ, Gate",N/A,N/A
Karen,Land,4,5,2024,"Garden, SQ, Gate",N/A,N/A
Karen,Commercial,3,4,2024,"Garden, Parking, En Suite, Solar, SQ, Sauna",N/A,N/A
Kilimani,Commercial,1,1,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, Lift, CCTV, Generator, Clubhouse",N/A,N/A
Kileleshwa,Villa,2,1,N/A,"Swimming Pool, Parking, Balcony, Clubhouse",N/A,N/A
Lavington,House,3,4,N/A,"Swimming Pool, Parking, Security, Balcony, Generator, SQ, Gate, Lift",N/A,N/A
Nairobi CBD,House,2,2,N/A,"Parking, Security, Borehole, Balcony, Generator, Gate, Lift",N/A,N/A
Lavington,Apartment,2,N/A,N/A,"Swimming Pool, Gym, Parking, Borehole, CCTV, Laundry, Electric Fence",N/A,N/A
Westlands,Land,4,4,N/A,"Gym, Parking, Security, Lift, Balcony, Generator, SQ, Gate, Intercom, Sauna, Electric Fence",N/A,N/A
Westlands,Land,2,3,N/A,"Swimming Pool, Gym, Garden, Borehole",N/A,N/A
Westlands,Townhouse,5,7,2428.1,"Swimming Pool, Garden, Parking, Solar, SQ",N/A,N/A
Westlands,Land,2,1,N/A,"Parking, Security, En Suite, Solar",N/A,N/A
Westlands,Land,1,1,67,"Swimming Pool, Gym, Garden, Parking, Security, CCTV, Generator, SQ, Rooftop",N/A,N/A
Nairobi,Townhouse,5,5,N/A,Parking,N/A,N/A
Spring Valley,Townhouse,5,5,594.6,"Garden, Parking, Security, Borehole, Generator, Solar, SQ, Gate, Laundry",N/A,N/A
Ngong Road,Maisonette,7,6,N/A,Parking,N/A,N/A
Thika Road,Maisonette,4,5,N/A,"Parking, CCTV, SQ, Gate, Rooftop",N/A,N/A
Karen,Land,4,5,N/A,"Garden, Parking, SQ",N/A,N/A
Karen,Commercial,4,5,N/A,"Swimming Pool, Parking, Security, SQ, Gate",N/A,N/A
Karen,Land,4,5,N/A,"Parking, SQ",N/A,N/A
Karen,Land,4,5,N/A,"Garden, Parking, SQ, Gate",N/A,N/A
Kilimani,Commercial,2,2,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, Lift, CCTV, Generator, Clubhouse",N/A,N/A
Kileleshwa,Studio,1,1,48,"Swimming Pool, Gym, Parking, Borehole, Lift, Generator, SQ, Sauna",N/A,N/A
Kileleshwa,Apartment,1,1,63,"Swimming Pool, Gym, Parking, Borehole, Lift, Generator, SQ, Sauna",N/A,N/A
Kileleshwa,Apartment,2,2,85,"Swimming Pool, Gym, Parking, Borehole, Lift, Generator, SQ, Sauna",N/A,N/A
Kileleshwa,Commercial,4,4,N/A,"Parking, Security, Borehole, Lift, Balcony, CCTV, Generator, Laundry",N/A,N/A
Valley Arcade,House,2,2,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, Balcony, Generator, Lift",N/A,N/A
Lavington,Villa,5,5,557.4,"Swimming Pool, Gym, Parking, Security, Balcony, CCTV, Generator, Solar, SQ, Gate, Jacuzzi, Gazebo",N/A,N/A
Nairobi West,Land,3,3,N/A,"Parking, Security, Lift, Balcony, CCTV, SQ",N/A,N/A
Westlands,Townhouse,4,4,N/A,"Swimming Pool, Gym, Garden, Parking, Borehole, CCTV, Generator, SQ, Clubhouse, Playground, Gate, Sauna",N/A,N/A
Westlands,Commercial,3,2,N/A,"Gym, Parking, Security, Lift, CCTV",N/A,N/A
Nairobi,Commercial,3,N/A,N/A,Store,N/A,N/A
Karen,Villa,4,4,N/A,"Swimming Pool, Garden, Parking, SQ, Rooftop",N/A,N/A
Karen,Land,4,5,N/A,"Parking, SQ",N/A,N/A
Karen,Land,4,5,N/A,"Garden, Parking, SQ, Gate",N/A,N/A
Kilimani,Apartment,1,1,N/A,"Gym, Parking, Borehole, Lift, Balcony, Generator",N/A,N/A
Kilimani,Apartment,2,2,N/A,"Swimming Pool, Gym, Parking, Balcony, Generator",N/A,N/A
Kileleshwa,Apartment,3,3,203,"Gym, SQ",N/A,N/A
Kileleshwa,Apartment,1,1,N/A,"Borehole, Balcony, Lift",N/A,N/A
Kileleshwa,Studio,1,1,N/A,"Gym, Parking, Security, Lift, Solar, Intercom, Rooftop",N/A,N/A
Valley Arcade,House,2,2,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, Generator, Intercom, Lift",N/A,N/A
Lavington,Townhouse,5,5,N/A,Parking,N/A,N/A
Valley Arcade,Land,4,5,N/A,"Swimming Pool, Gym, Parking, Security, Balcony, Generator, SQ, Intercom, Lift",N/A,N/A
Valley Arcade,Land,4,4,N/A,"Swimming Pool, Parking, Generator, SQ, Lift",N/A,N/A
Westlands,Land,1,1,N/A,"Swimming Pool, Parking, Balcony, Laundry",N/A,N/A
Westlands,Land,3,3,175,"Gym, Parking, Generator, SQ, Rooftop",N/A,N/A
Nairobi,Studio,N/A,1,N/A,Jacuzzi,N/A,N/A
Athi River,Maisonette,3,3,160,"Garden, Parking, Security, Solar, SQ, Gate",N/A,N/A
Athi River,Land,N/A,N/A,900,"SQ, Gate",N/A,N/A
Kitengela,Land,N/A,N/A,N/A,None,N/A,N/A
Nairobi CBD,Bungalow,3,4,N/A,"Parking, Security, Gate, Laundry",N/A,N/A
Thika Road,Commercial,1,1,N/A,"Parking, Balcony",N/A,N/A
Karen,Land,5,5,4046.9,"Garden, Balcony, Solar",N/A,N/A
Karen,Villa,5,6,3035,"Gym, Garden, Parking, Balcony, Solar, SQ, Gate, Rooftop",N/A,N/A
Kilimani,Apartment,3,3,N/A,"Parking, Lift, Laundry",N/A,N/A
South B,Apartment,3,1,N/A,"Parking, Security, Borehole, Generator, Lift",N/A,N/A
Lavington,House,4,N/A,N/A,None,N/A,N/A
Lavington,Studio,1,1,66,"Swimming Pool, Gym, Garden, Parking, CCTV, SQ, Playground, Intercom, Laundry, Lift",N/A,N/A
Ngong Road,Commercial,3,3,N/A,"Parking, Security, Balcony, Laundry",N/A,N/A
Westlands,Land,2,2,95,"Swimming Pool, Gym, Garden, Parking, Security, Borehole, CCTV, Generator, SQ, Intercom, Lift",N/A,N/A
Westlands,Studio,1,1,52,"Swimming Pool, Gym, Parking, Security, Borehole, CCTV, Generator, Solar, SQ, Intercom, Rooftop, Sauna, Lift",N/A,N/A
Westlands,Land,2,2,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, Generator, Laundry",N/A,N/A
Westlands,Commercial,4,4,N/A,"Swimming Pool, Garden, Parking, Borehole, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,N/A
Westlands,Land,6,6,N/A,"Garden, Parking",N/A,N/A
Nairobi,Bungalow,2,2,211,"Garden, Parking, SQ, Gate, Laundry",N/A,N/A
Nairobi,Villa,N/A,N/A,8093.7,None,N/A,N/A
Thika Road,Commercial,N/A,1,707.5,"Parking, Security, SQ",N/A,N/A
Garden Estate,Townhouse,5,5,N/A,"Garden, Parking, Security, Sauna, Store",N/A,N/A
Karen,Bungalow,4,N/A,4046.9,"Garden, Solar, SQ, Gate",N/A,N/A
Karen,Townhouse,4,N/A,N/A,"Garden, SQ, Gate",N/A,N/A
Kilimani,Apartment,3,2,N/A,"Swimming Pool, Balcony, CCTV, Lift",N/A,N/A
Kilimani,House,2,2,N/A,"Parking, Generator, SQ, Laundry",N/A,N/A
Valley Arcade,House,2,2,N/A,"Gym, Parking, Security, Generator, Lift",N/A,N/A
Valley Arcade,Apartment,1,1,N/A,"Swimming Pool, Gym, Parking, Security, Borehole, Generator",N/A,N/A
Ngong Road,Commercial,3,3,N/A,"Parking, Security, Balcony, Laundry",N/A,N/A
Lavington,Apartment,2,2,N/A,"Swimming Pool, Gym, Parking",N/A,N/A
Lavington,House,2,2,N/A,"Swimming Pool, Gym, Parking, Balcony, Generator, SQ",N/A,N/A
Lavington,Land,3,N/A,N/A,"Gym, Garden, Parking, Security, Borehole, CCTV, Generator",N/A,N/A
Lavington,House,4,N/A,350,"Garden, SQ",N/A,N/A
Lower Kabete,Commercial,4,N/A,20,"SQ, Jacuzzi",N/A,N/A
Westlands,Townhouse,5,5,N/A,"Garden, Parking, SQ",N/A,N/A
Westlands,Land,1,1,N/A,None,N/A,N/A
Nairobi CBD,Commercial,4,N/A,8093.7,"Gym, Garden, Security, Generator, Sauna",N/A,N/A
Muthaiga,Land,5,N/A,1000,"Swimming Pool, Gym, Garden, Parking, Balcony, SQ, Sauna, Jacuzzi, Laundry, Gazebo",N/A,N/A
Nairobi CBD,Land,4,N/A,8093.7,"Balcony, SQ",N/A,N/A
Kilimani,Land,3,3,150,"Swimming Pool, Gym, Garden, Parking, Borehole, En Suite, Servant Quarter, SQ, Gate, Store",16800000,N/A
Kilimani,Apartment,3,3,150,SQ,10800000,N/A
Kilimani,Apartment,2,N/A,87,SQ,9400000,N/A
Kileleshwa,Apartment,3,N/A,180,"Swimming Pool, Gym, Servant Quarter, SQ",23000000,N/A
Garden Estate,Land,6,N/A,450,"Garden, SQ",55000000,N/A
Roysambu,Apartment,2,N/A,4200,SQ,150000000,N/A
Nairobi,Apartment,2,N/A,5000,"Gym, SQ",10800000,N/A
Kileleshwa,Apartment,4,N/A,230,SQ,23000000,N/A
Kileleshwa,Apartment,1,1,N/A,SQ,5700000,N/A
Kileleshwa,Apartment,3,3,N/A,None,14500000,N/A
Kileleshwa,Apartment,3,3,N/A,"Parking, Borehole, Gate",22000000,N/A
Mirema,Apartment,1,N/A,5000,SQ,2500000,N/A
Runda,House,5,N/A,500,SQ,110000000,N/A
Zimmerman,Apartment,1,N/A,4200,SQ,150000000,N/A
Kasarani,Apartment,1,N/A,31,SQ,3500000,N/A
Kahawa,House,4,N/A,250,SQ,25000000,N/A
Kilimani,Apartment,3,N/A,135,"SQ, Store",14800000,N/A
Kilimani,Apartment,3,N/A,125,SQ,12000000,N/A
Roysambu,Apartment,3,N/A,134,SQ,14500000,N/A
Kileleshwa,Apartment,3,3,N/A,Garden,14500000,N/A
Kasarani,Apartment,1,N/A,3200,SQ,65000000,N/A
Kilimani,Apartment,3,N/A,150,"En Suite, SQ",15000000,N/A
Nairobi,Apartment,3,N/A,90,SQ,5000000,N/A
Kileleshwa,Apartment,3,N/A,160,SQ,15500000,N/A
Valley Arcade,Townhouse,3,3,150,"Parking, Borehole, Lift, En Suite, Balcony, SQ, Gate",16500000,N/A
Kileleshwa,Apartment,3,N/A,170,SQ,19000000,N/A
Lavington,House,4,N/A,234,SQ,80000000,N/A
Karen,Maisonette,5,N/A,200,"Parking, SQ",95000000,N/A
Hurlingham,Apartment,3,N/A,171,"Lift, SQ",15000000,N/A
Lower Kabete,Studio,1,N/A,25.5,SQ,2330000,N/A
Nairobi,Land,3,N/A,900,SQ,10000000,N/A
Runda,Land,6,N/A,4500,SQ,150000000,N/A
Nairobi,House,3,N/A,450,SQ,7000000,N/A
South B,House,4,N/A,250,"En Suite, SQ",25000000,N/A
Kilimani,Studio,1,N/A,70,"SQ, Gate",4500000,N/A
Spring Valley,Villa,4,N/A,543,SQ,80000000,N/A
Upperhill,Apartment,3,N/A,80,SQ,7900000,N/A
Njiru,House,1,N/A,4080,SQ,55000000,N/A
Buruburu,Land,4,N/A,500,SQ,15000000,N/A
Westlands,Land,3,N/A,130,SQ,14450000,N/A
Embakasi,Land,1,N/A,500,SQ,70000000,N/A
Lavington,Villa,5,N/A,350,"SQ, Gate",55000000,N/A
Buruburu,Townhouse,4,N/A,260,SQ,15900000,N/A
Kilimani,Apartment,3,N/A,251,"Balcony, SQ",35000000,N/A
Valley Arcade,Townhouse,5,N/A,450,SQ,75000000,N/A
Kileleshwa,Apartment,3,3,N/A,"Borehole, Lift",13800000,N/A
Nairobi,Bungalow,2,N/A,100,SQ,2600000,N/A
Westlands,Villa,2,N/A,95,SQ,12600000,N/A
Syokimau,Maisonette,4,3,225,"Garden, Security, SQ, Gate, Store",15000000,N/A
Riverside,Apartment,4,N/A,280,"SQ, Gate",15000000,N/A
Kilimani,Apartment,1,N/A,60,SQ,7000000,N/A
Ongata Rongai,Maisonette,4,N/A,190,SQ,90000000,N/A
Membley,House,6,N/A,300,"Security, SQ",19500000,N/A
Kitisuru,Maisonette,5,N/A,986,SQ,277000000,N/A
Ngong Road,Apartment,2,N/A,56,SQ,5360000,N/A
Kahawa Wendani,Bedsitter,8,N/A,2005,SQ,150000000,N/A
Kasarani,Bedsitter,43,N/A,3370,SQ,65000000,N/A
Kasarani,Maisonette,4,N/A,400,SQ,12500000,N/A
South C,Bungalow,3,N/A,120,"SQ, Gate",11000000,N/A
Parklands,Land,3,N/A,200,SQ,12500000,N/A
South B,Maisonette,4,3,N/A,Gate,17500000,N/A
Ngong Road,Land,1,N/A,23,SQ,2300000,N/A
Runda,House,4,N/A,1000,SQ,120000000,N/A
Runda,Maisonette,4,N/A,429,SQ,42000000,N/A
Embakasi,Apartment,3,2,N/A,None,7000000,N/A
Githurai,House,11,5,N/A,Store,20000000,N/A
Kileleshwa,Apartment,3,N/A,90,SQ,13800000,N/A
Westlands,Land,3,N/A,3000,"Garden, SQ",25380000,N/A
Kahawa,Apartment,4,N/A,105,SQ,8400000,N/A
Embakasi,Maisonette,4,N/A,300,SQ,9999999,N/A
Lavington,Commercial,2,N/A,90,SQ,9000000,N/A
Langata,House,4,N/A,246,SQ,38800000,N/A
