Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),Listing Date
Lavington,Townhouse,5,5,N/A,En Suite,95000000,N/A
Lavington,Townhouse,5,5,N/A,En Suite,160000000,N/A
Lavington,Townhouse,5,6,N/A,En Suite,150000000,N/A
Lavington,Townhouse,6,7,N/A,En Suite,86000000,N/A
Lavington,Townhouse,5,6,N/A,En Suite,85000000,N/A
Lavington,Townhouse,5,5,N/A,En Suite,90000000,N/A
Westlands,Land,5,6,N/A,En Suite,350000000,N/A
Westlands,Townhouse,5,5,N/A,En Suite,150000000,N/A
Lavington,House,9,9,N/A,En Suite,350000000,N/A
Lavington,Townhouse,4,4,N/A,En Suite,58000000,N/A
Kileleshwa,Townhouse,4,4,N/A,En Suite,76000000,N/A
Kileleshwa,Townhouse,4,5,N/A,En Suite,73000000,N/A
Lavington,Townhouse,5,5,N/A,En Suite,110000000,N/A
Nairobi,Apartment,2,2,N/A,En Suite,12000000,N/A
Westlands,Land,4,4,N/A,En Suite,18000000,N/A
Nairobi,Apartment,3,4,N/A,En Suite,17000000,N/A
Lavington,Apartment,3,3,N/A,En Suite,11000000,N/A
Westlands,Townhouse,3,3,65,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,10
Westlands,Land,2,3,132,En Suite,10000000,N/A
Kilimani,Apartment,5,6,N/A,En Suite,65000000,N/A
Kileleshwa,Apartment,1,1,N/A,Swimming Pool,5500000,N/A
Kilimani,Apartment,3,2,N/A,En Suite,13700000,N/A
Lavington,Apartment,2,2,N/A,En Suite,10700000,N/A
Westlands,Townhouse,2,3,132,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,10
Lavington,Apartment,2,3,124,En Suite,9900000,N/A
Westlands,Land,4,N/A,N/A,En Suite,120000000,N/A
Lavington,Apartment,1,2,64,Swimming Pool,5500000,N/A
Westlands,Land,1,2,65,Swimming Pool,6000000,N/A
Lavington,Land,N/A,N/A,N/A,None,250000000,N/A
Kilimani,Apartment,3,3,132,En Suite,13900000,N/A
Lavington,Townhouse,2,3,142,"Swimming Pool, Gym, Garden, Parking, Borehole, Lift, En Suite, Balcony, CCTV, Generator, Fibre, Gate, Electric Fence",N/A,10
Westlands,Land,5,6,N/A,En Suite,185000000,N/A
Lavington,Villa,5,5,N/A,En Suite,95000000,N/A
Kilimani,Apartment,2,2,1274,En Suite,13500000,N/A
Spring Valley,Townhouse,5,6,N/A,"Garden, En Suite",110000000,N/A
Kilimani,Apartment,2,2,1192,En Suite,13200000,N/A
Westlands,Land,2,2,N/A,En Suite,12500000,N/A
Lavington,Apartment,3,3,N/A,En Suite,13000000,N/A
Kilimani,Apartment,2,2,1024,Swimming Pool,11300000,N/A
Lavington,Apartment,2,2,N/A,En Suite,9200000,N/A
Lavington,Apartment,1,1,N/A,En Suite,6500000,N/A
Lavington,Townhouse,5,N/A,N/A,Gate,72000000,N/A
Karen,Land,N/A,N/A,4046.9,None,85000000,N/A
Westlands,Land,5,N/A,N/A,En Suite,125000000,N/A
Lavington,Apartment,3,4,165,En Suite,15000000,N/A
Westlands,Land,2,3,122,En Suite,9800000,N/A
Kilimani,Apartment,2,2,N/A,En Suite,10500000,N/A
Westlands,Land,4,5,N/A,En Suite,21000000,N/A
